StudentID,Name,Age,Grade,Mathematics,Science,English,Hindi,Sanskrit,Social Science,PreferredSubjects,WeakSubjects,LearningStyle,Hobbies,CareerInterest
66,Student_66,15,10,80,70,95,88,87,87,"['Hindi', 'English', 'Science']","['Mathematics', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Arts'],Entrepreneur
67,Student_67,14,10,96,56,51,78,77,99,"['Sanskrit', 'SocialStudies']","['Mathematics', 'Science', 'English', 'Hindi']",Kinesthetic,['Writing'],Scientist
68,Student_68,15,10,52,71,68,92,52,78,"['Sanskrit', 'Hindi']","['Mathematics', 'Science', 'English', 'SocialStudies']",Kinesthetic,"['Writing', 'Reading']",Government Services
69,Student_69,16,8,91,46,64,40,71,50,['Mathematics'],"['Science', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Reading', 'Music', 'Writing']",Artist
70,Student_70,14,8,69,78,71,64,94,43,"['Sanskrit', 'Science']","['Mathematics', 'English', 'Hindi', 'SocialStudies']",Logical,"['Music', 'Reading']",Artist
71,Student_71,15,10,87,57,61,87,82,60,"['Science', 'English']","['Mathematics', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Writing', 'Music']",Scientist
72,Student_72,15,8,96,63,92,99,75,72,"['Science', 'Mathematics', 'Sanskrit']","['English', 'Hindi', 'SocialStudies']",Auditory,"['Music', 'Reading']",Entrepreneur
73,Student_73,14,9,46,92,79,57,86,52,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Sports', 'Technology', 'Dance']",Artist
74,Student_74,14,9,99,74,40,59,46,79,"['Sanskrit', 'Science']","['Mathematics', 'English', 'Hindi', 'SocialStudies']",Visual,"['Sports', 'Dance']",Doctor
75,Student_75,15,9,49,85,99,52,70,44,"['Mathematics', 'Sanskrit', 'Science']","['English', 'Hindi', 'SocialStudies']",Kinesthetic,"['Technology', 'Arts', 'Writing']",Doctor
76,Student_76,15,10,64,99,69,83,40,47,"['Mathematics', 'SocialStudies', 'Sanskrit']","['Science', 'English', 'Hindi']",Auditory,"['Writing', 'Sports', 'Arts']",Teacher
77,Student_77,15,8,53,74,61,79,59,52,"['Mathematics', 'Science']","['English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Arts', 'Music', 'Reading']",Government Services
78,Student_78,16,10,56,43,51,74,92,62,"['Mathematics', 'SocialStudies', 'Hindi']","['Science', 'English', 'Sanskrit']",Auditory,"['Dance', 'Music', 'Sports']",Entrepreneur
79,Student_79,15,9,58,45,97,64,84,62,"['Mathematics', 'SocialStudies', 'Science']","['English', 'Hindi', 'Sanskrit']",Kinesthetic,"['Music', 'Arts']",Artist
80,Student_80,14,10,81,53,66,40,86,43,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Logical,"['Arts', 'Dance', 'Sports']",Engineer
81,Student_81,14,8,63,95,99,79,77,72,"['Mathematics', 'Sanskrit', 'English']","['Science', 'Hindi', 'SocialStudies']",Auditory,['Reading'],Doctor
82,Student_82,14,10,71,61,97,82,41,97,"['Mathematics', 'Sanskrit']","['Science', 'English', 'Hindi', 'SocialStudies']",Logical,['Music'],Scientist
83,Student_83,14,8,80,94,71,51,88,64,"['SocialStudies', 'Sanskrit', 'Hindi']","['Mathematics', 'Science', 'English']",Kinesthetic,['Dance'],Artist
84,Student_84,14,10,49,87,87,45,49,72,"['Mathematics', 'Sanskrit']","['Science', 'English', 'Hindi', 'SocialStudies']",Visual,"['Sports', 'Music']",Doctor
85,Student_85,16,9,52,87,85,75,87,47,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Reading'],Doctor
86,Student_86,15,8,73,40,84,65,82,93,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Visual,"['Writing', 'Arts', 'Music']",Scientist
87,Student_87,14,10,51,82,67,50,75,82,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,['Arts'],Government Services
88,Student_88,16,9,72,86,75,98,96,98,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Logical,"['Technology', 'Dance', 'Music']",Engineer
89,Student_89,16,9,40,94,94,56,93,96,"['Mathematics', 'SocialStudies', 'Sanskrit']","['Science', 'English', 'Hindi']",Auditory,['Sports'],Artist
90,Student_90,16,9,70,65,92,90,40,79,"['SocialStudies', 'Hindi', 'Sanskrit']","['Mathematics', 'Science', 'English']",Auditory,"['Arts', 'Music']",Entrepreneur
91,Student_91,14,8,53,93,62,59,71,48,"['Mathematics', 'English', 'Sanskrit']","['Science', 'Hindi', 'SocialStudies']",Logical,['Sports'],Doctor
92,Student_92,14,9,58,59,55,87,59,89,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Kinesthetic,"['Writing', 'Reading', 'Technology']",Entrepreneur
93,Student_93,14,9,51,83,82,83,69,60,"['English', 'Mathematics', 'Science']","['Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Reading', 'Technology', 'Music']",Doctor
94,Student_94,14,10,89,47,82,94,61,83,"['SocialStudies', 'Sanskrit', 'Mathematics']","['Science', 'English', 'Hindi']",Auditory,"['Technology', 'Music']",Teacher
95,Student_95,15,8,68,48,67,98,94,99,"['SocialStudies', 'Mathematics']","['Science', 'English', 'Hindi', 'Sanskrit']",Visual,"['Writing', 'Technology']",Teacher
96,Student_96,14,10,75,92,87,79,48,61,"['Hindi', 'SocialStudies', 'Mathematics']","['Science', 'English', 'Sanskrit']",Auditory,['Technology'],Artist
97,Student_97,15,10,78,80,59,43,63,43,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Visual,"['Technology', 'Sports']",Teacher
98,Student_98,15,8,74,52,90,89,94,49,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Sports', 'Writing']",Teacher
99,Student_99,16,10,71,75,97,79,66,48,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Writing', 'Sports', 'Dance']",Scientist
100,Student_100,16,10,53,50,45,44,52,56,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Writing', 'Sports', 'Dance']",Engineer
101,Student_101,16,8,43,97,73,42,77,45,"['Hindi', 'Mathematics', 'Sanskrit']","['Science', 'English', 'SocialStudies']",Visual,['Music'],Teacher
102,Student_102,14,9,47,52,84,96,86,95,"['Science', 'Mathematics', 'Hindi']","['English', 'Sanskrit', 'SocialStudies']",Auditory,"['Reading', 'Music', 'Technology']",Artist
103,Student_103,14,8,93,43,86,90,67,72,"['Science', 'Hindi']","['Mathematics', 'English', 'Sanskrit', 'SocialStudies']",Auditory,"['Arts', 'Dance', 'Music']",Teacher
104,Student_104,16,10,60,68,44,57,85,52,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Kinesthetic,"['Writing', 'Technology', 'Dance']",Entrepreneur
105,Student_105,15,9,75,53,92,89,66,91,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Sports', 'Technology', 'Arts']",Entrepreneur
106,Student_106,16,10,74,80,65,84,54,89,"['Hindi', 'Science', 'Sanskrit']","['Mathematics', 'English', 'SocialStudies']",Visual,['Writing'],Engineer
107,Student_107,14,9,66,93,67,66,75,64,"['Sanskrit', 'Hindi', 'English']","['Mathematics', 'Science', 'SocialStudies']",Auditory,"['Music', 'Reading']",Artist
108,Student_108,14,9,54,71,47,78,91,77,"['Hindi', 'Science', 'Sanskrit']","['Mathematics', 'English', 'SocialStudies']",Logical,"['Technology', 'Writing', 'Dance']",Scientist
109,Student_109,15,8,68,48,96,57,98,42,"['Mathematics', 'Science']","['English', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Arts'],Doctor
110,Student_110,16,10,77,86,62,91,96,95,"['Science', 'English']","['Mathematics', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Reading', 'Sports', 'Technology']",Engineer
111,Student_111,16,8,100,56,47,75,73,99,['SocialStudies'],"['Mathematics', 'Science', 'English', 'Hindi', 'Sanskrit']",Kinesthetic,['Music'],Artist
112,Student_112,15,10,45,42,69,77,80,60,"['Sanskrit', 'Science']","['Mathematics', 'English', 'Hindi', 'SocialStudies']",Auditory,"['Reading', 'Writing']",Teacher
113,Student_113,16,8,79,63,74,99,47,74,"['Mathematics', 'SocialStudies', 'Sanskrit']","['Science', 'English', 'Hindi']",Visual,"['Technology', 'Writing', 'Sports']",Engineer
114,Student_114,15,8,98,63,61,86,66,46,"['Mathematics', 'English']","['Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Technology', 'Dance']",Doctor
115,Student_115,15,9,81,82,73,94,67,76,"['English', 'Science', 'Mathematics']","['Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Writing', 'Music']",Doctor
116,Student_116,14,10,59,97,61,74,54,54,"['Mathematics', 'Hindi']","['Science', 'English', 'Sanskrit', 'SocialStudies']",Logical,"['Music', 'Writing']",Engineer
117,Student_117,16,8,66,59,41,87,62,80,"['Mathematics', 'SocialStudies']","['Science', 'English', 'Hindi', 'Sanskrit']",Kinesthetic,['Reading'],Scientist
118,Student_118,15,10,90,90,99,71,48,90,"['English', 'Science']","['Mathematics', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,['Reading'],Engineer
119,Student_119,16,8,70,46,79,59,77,49,"['SocialStudies', 'Sanskrit']","['Mathematics', 'Science', 'English', 'Hindi']",Visual,"['Writing', 'Sports']",Teacher
120,Student_120,14,8,68,40,91,40,51,89,"['SocialStudies', 'English', 'Sanskrit']","['Mathematics', 'Science', 'Hindi']",Logical,['Dance'],Artist
121,Student_121,14,10,40,99,96,76,57,61,"['SocialStudies', 'Sanskrit']","['Mathematics', 'Science', 'English', 'Hindi']",Auditory,['Sports'],Government Services
122,Student_122,16,8,50,87,83,72,82,99,['Mathematics'],"['Science', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,['Reading'],Teacher
123,Student_123,16,10,62,80,57,94,42,47,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Writing'],Teacher
124,Student_124,14,8,58,100,63,97,95,44,"['Mathematics', 'Hindi', 'SocialStudies']","['Science', 'English', 'Sanskrit']",Logical,"['Music', 'Writing', 'Dance']",Teacher
125,Student_125,15,9,73,94,95,56,60,82,"['English', 'Mathematics']","['Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Sports'],Government Services
126,Student_126,14,8,73,80,76,46,75,48,"['Mathematics', 'English', 'Science']","['Hindi', 'Sanskrit', 'SocialStudies']",Visual,"['Dance', 'Technology']",Government Services
127,Student_127,16,9,47,87,75,67,50,86,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Dance', 'Writing', 'Reading']",Doctor
128,Student_128,16,10,69,40,88,45,45,40,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Auditory,"['Music', 'Dance', 'Reading']",Teacher
129,Student_129,16,9,59,74,46,93,47,63,"['SocialStudies', 'English']","['Mathematics', 'Science', 'Hindi', 'Sanskrit']",Kinesthetic,['Technology'],Doctor
130,Student_130,15,8,99,88,53,100,55,88,"['Hindi', 'Science', 'English']","['Mathematics', 'Sanskrit', 'SocialStudies']",Auditory,"['Music', 'Technology', 'Sports']",Scientist
131,Student_131,15,8,56,82,79,66,74,57,"['Sanskrit', 'Hindi']","['Mathematics', 'Science', 'English', 'SocialStudies']",Kinesthetic,"['Writing', 'Reading']",Artist
132,Student_132,16,9,62,49,97,40,100,77,"['Science', 'Sanskrit', 'English']","['Mathematics', 'Hindi', 'SocialStudies']",Kinesthetic,['Sports'],Scientist
133,Student_133,14,8,91,96,89,48,79,84,"['SocialStudies', 'Science']","['Mathematics', 'English', 'Hindi', 'Sanskrit']",Visual,"['Reading', 'Writing', 'Technology']",Engineer
134,Student_134,14,9,51,91,57,77,98,54,"['Mathematics', 'Sanskrit', 'Hindi']","['Science', 'English', 'SocialStudies']",Logical,"['Sports', 'Writing', 'Music']",Entrepreneur
135,Student_135,15,8,70,59,45,81,63,68,"['English', 'Mathematics']","['Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,['Writing'],Entrepreneur
136,Student_136,16,8,97,68,88,58,92,59,"['Science', 'SocialStudies']","['Mathematics', 'English', 'Hindi', 'Sanskrit']",Visual,"['Arts', 'Reading', 'Technology']",Engineer
137,Student_137,15,8,82,75,82,97,90,43,"['English', 'Hindi', 'Sanskrit']","['Mathematics', 'Science', 'SocialStudies']",Logical,"['Arts', 'Dance', 'Sports']",Artist
138,Student_138,15,8,43,63,64,79,81,53,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Kinesthetic,"['Technology', 'Reading']",Engineer
139,Student_139,16,9,86,74,74,84,52,44,"['English', 'SocialStudies', 'Science']","['Mathematics', 'Hindi', 'Sanskrit']",Kinesthetic,"['Technology', 'Reading']",Doctor
140,Student_140,16,8,78,81,78,81,57,51,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Technology', 'Reading', 'Writing']",Scientist
141,Student_141,15,8,52,85,72,73,93,61,"['English', 'SocialStudies', 'Sanskrit']","['Mathematics', 'Science', 'Hindi']",Visual,['Dance'],Artist
142,Student_142,16,9,59,41,55,49,69,41,"['Hindi', 'SocialStudies', 'English']","['Mathematics', 'Science', 'Sanskrit']",Auditory,"['Dance', 'Writing']",Doctor
143,Student_143,15,9,74,64,82,49,59,68,"['Sanskrit', 'Science', 'English']","['Mathematics', 'Hindi', 'SocialStudies']",Logical,['Writing'],Entrepreneur
144,Student_144,14,8,58,47,50,89,85,43,"['Science', 'Hindi']","['Mathematics', 'English', 'Sanskrit', 'SocialStudies']",Logical,"['Arts', 'Dance']",Entrepreneur
145,Student_145,16,8,75,42,65,73,97,56,"['Mathematics', 'Sanskrit']","['Science', 'English', 'Hindi', 'SocialStudies']",Logical,"['Technology', 'Music', 'Arts']",Engineer
146,Student_146,14,10,44,83,65,43,41,93,"['Hindi', 'Mathematics']","['Science', 'English', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Music', 'Reading', 'Dance']",Scientist
147,Student_147,16,9,100,96,70,60,72,83,"['Mathematics', 'SocialStudies']","['Science', 'English', 'Hindi', 'Sanskrit']",Logical,"['Dance', 'Writing', 'Music']",Doctor
148,Student_148,15,10,98,89,70,100,50,86,"['Mathematics', 'SocialStudies']","['Science', 'English', 'Hindi', 'Sanskrit']",Kinesthetic,"['Technology', 'Dance', 'Arts']",Teacher
149,Student_149,15,8,71,46,83,54,81,56,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Reading'],Engineer
150,Student_150,16,9,40,60,56,74,83,94,"['SocialStudies', 'English']","['Mathematics', 'Science', 'Hindi', 'Sanskrit']",Auditory,"['Reading', 'Music']",Teacher
151,Student_151,16,8,72,55,59,61,60,60,"['Science', 'Sanskrit']","['Mathematics', 'English', 'Hindi', 'SocialStudies']",Kinesthetic,"['Arts', 'Dance']",Scientist
152,Student_152,16,8,97,85,49,61,59,84,"['SocialStudies', 'English']","['Mathematics', 'Science', 'Hindi', 'Sanskrit']",Logical,['Music'],Entrepreneur
153,Student_153,14,9,81,40,40,90,69,84,"['Science', 'Hindi', 'Mathematics']","['English', 'Sanskrit', 'SocialStudies']",Visual,"['Dance', 'Arts']",Entrepreneur
154,Student_154,15,9,53,46,98,90,41,65,"['Sanskrit', 'Mathematics']","['Science', 'English', 'Hindi', 'SocialStudies']",Logical,['Technology'],Artist
155,Student_155,16,9,72,82,88,96,54,64,"['English', 'SocialStudies']","['Mathematics', 'Science', 'Hindi', 'Sanskrit']",Logical,['Music'],Artist
